"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.873,56.66,22.621,5.413,4.0156,5.5557,4.1095,0.95743,1,214.88,87.884,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.744,56.411,22.035,5.2831,3.8661,5.2887,3.8621,0.87142,1,215.14,88.138,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.528,56.069,21.478,5.1595,3.7318,5.0543,3.6481,0.79941,1,215.39,88.392,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,39.244,55.65,20.948,5.0416,3.6106,4.8471,3.4616,0.73842,1,215.65,88.646,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,38.887,55.139,20.448,4.9305,3.5046,4.6716,3.3066,0.68954,1,215.9,88.9,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,38.475,54.553,19.974,4.8251,3.4111,4.5218,3.1769,0.64993,1,216.15,89.154,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,38.021,53.902,19.522,4.7247,3.3284,4.3938,3.0684,0.61792,1,216.41,89.408,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,37.526,53.184,19.092,4.6293,3.2567,4.2882,2.9813,0.59339,1,216.66,89.662,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,36.994,52.405,18.685,4.5392,3.1959,4.2044,2.9151,0.57597,1,216.92,89.916,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,36.426,51.56,18.3,4.4541,3.1458,4.1422,2.8695,0.56547,1,217.17,90.17,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,35.832,50.667,17.932,4.3729,3.104,4.0967,2.8398,0.56028,1,217.42,90.424,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,35.216,49.734,17.58,4.2955,3.0697,4.0661,2.8243,0.55984,1,217.68,90.678,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,34.555,48.722,17.254,4.2238,3.0481,4.0616,2.8335,0.5678,1,217.93,90.932,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,33.86,47.657,16.946,4.1565,3.036,4.0765,2.8615,0.58226,1,218.19,91.186,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,33.129,46.538,16.658,4.0934,3.0333,4.1108,2.9085,0.60351,1,218.44,91.44,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,32.353,45.359,16.391,4.0351,3.0411,4.1674,2.9774,0.63299,1,218.69,91.694,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,31.551,44.15,16.135,3.9791,3.0545,4.2358,3.058,0.66697,1,218.95,91.948,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,30.67,42.854,15.907,3.9294,3.083,4.3375,3.1726,0.71464,1,219.2,92.202,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,29.745,41.515,15.694,3.8826,3.1191,4.4565,3.3052,0.77008,1,219.46,92.456,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,28.748,40.108,15.501,3.8403,3.1672,4.6027,3.4665,0.83801,1,219.71,92.71,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,27.66,38.624,15.332,3.8026,3.229,4.7818,3.6635,0.92266,1,219.96,92.964,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,26.516,37.097,15.177,3.7677,3.299,4.9808,3.8827,1.0183,1,220.22,93.218,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,25.152,35.396,15.068,3.7415,3.3998,5.2586,4.1927,1.1636,1,220.47,93.472,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,23.704,33.635,14.976,3.7181,3.5128,5.5698,4.5435,1.3345,1,220.73,93.726,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,22.115,31.776,14.909,3.699,3.6488,5.9455,4.9747,1.5597,1,220.98,93.98,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,20.393,29.827,14.865,3.6838,3.8088,6.3891,5.491,1.8439,1,221.23,94.234,0,0
69,2.3388,32.725,46.831,19.976,4.8254,3.9858,5.9177,4.6511,1.2759,18.619,27.846,14.83,3.6699,3.9787,6.8615,6.0439,2.1539,1,221.49,94.488,0,0
196,0,24.751,38.643,22.735,5.4425,5.6608,9.7236,8.7679,3.319,16.677,25.861,14.804,3.652,4.4185,8.0187,7.3699,2.8541,1,221.74,94.742,0,0
196,0,24.751,38.643,22.735,5.4425,5.6609,9.7237,8.7679,3.319,15.074,24.034,14.778,3.6493,4.7971,9.0651,8.6497,3.6129,1,222,94.996,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,14.13,22.622,14.665,3.6392,4.9909,9.6622,9.4493,4.1373,1,222.25,95.25,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,13.261,21.331,14.499,3.6179,5.1517,10.167,10.116,4.5576,1,222.5,95.504,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,12.477,20.185,14.263,3.5825,5.2758,10.569,10.628,4.8522,1,222.76,95.758,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,11.731,19.079,13.966,3.5402,5.4011,10.971,11.118,5.1098,1,223.01,96.012,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,11.078,18.106,13.651,3.4906,5.4882,11.273,11.485,5.3003,1,223.27,96.266,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,10.448,17.151,13.302,3.4371,5.5755,11.577,11.849,5.4828,1,223.52,96.52,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,9.9149,16.331,12.944,3.3785,5.6238,11.782,12.095,5.6041,1,223.77,96.774,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,9.3958,15.516,12.573,3.3195,5.6718,11.993,12.347,5.7294,1,224.03,97.028,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,8.9158,14.749,12.191,3.2597,5.7049,12.175,12.562,5.834,1,224.28,97.282,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,8.4807,14.035,11.805,3.1992,5.7214,12.322,12.737,5.9184,1,224.54,97.536,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,8.129,13.43,11.44,3.1311,5.715,12.395,12.829,5.9619,1,224.79,97.79,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.7773,12.824,11.074,3.063,5.7087,12.467,12.921,6.0053,1,225.04,98.044,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.4257,12.218,10.709,2.9949,5.7024,12.54,13.013,6.0487,1,225.3,98.298,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,7.074,11.612,10.344,2.9268,5.696,12.612,13.104,6.0922,1,225.55,98.552,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.7247,11.01,9.9794,2.8586,5.6889,12.682,13.193,6.1342,1,225.81,98.806,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.4693,10.566,9.6612,2.7852,5.6505,12.647,13.166,6.121,1,226.06,99.06,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,6.2139,10.121,9.343,2.7117,5.6121,12.611,13.139,6.1078,1,226.31,99.314,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,5.9585,9.676,9.0248,2.6383,5.5737,12.576,13.111,6.0946,1,226.57,99.568,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,5.7031,9.2311,8.7067,2.5648,5.5353,12.541,13.084,6.0815,1,226.82,99.822,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,5.4477,8.7863,8.3885,2.4913,5.4969,12.505,13.057,6.0683,1,227.08,100.08,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,5.2498,8.4391,8.1122,2.4222,5.4385,12.41,12.963,6.0242,1,227.33,100.33,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,5.0576,8.1017,7.8402,2.3535,5.378,12.309,12.863,5.977,1,227.58,100.58,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.8655,7.7642,7.5682,2.2848,5.3175,12.207,12.763,5.9298,1,227.84,100.84,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.6733,7.4267,7.2961,2.2161,5.2571,12.106,12.663,5.8826,1,228.09,101.09,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.4811,7.0893,7.0241,2.1474,5.1966,12.004,12.562,5.8355,1,228.35,101.35,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.3147,6.7977,6.7782,2.0835,5.1282,11.878,12.435,5.7756,1,228.6,101.6,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.1612,6.5293,6.5461,2.0221,5.0563,11.74,12.294,5.7098,1,228.85,101.85,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,4.013,6.2705,6.3199,1.9617,4.9833,11.597,12.149,5.6418,1,229.11,102.11,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.8689,6.0191,6.0983,1.9022,4.9095,11.451,12,5.5721,1,229.36,102.36,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.7281,5.7737,5.8804,1.8433,4.8349,11.303,11.848,5.501,1,229.62,102.62,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.59,5.5333,5.6656,1.785,4.7598,11.152,11.693,5.4287,1,229.87,102.87,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.4543,5.2972,5.4534,1.7272,4.6842,10.999,11.536,5.3555,1,230.12,103.12,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.341,5.1027,5.2703,1.6756,4.6051,10.832,11.364,5.2751,1,230.38,103.38,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.2317,4.9155,5.0929,1.6253,4.526,10.664,11.19,5.1939,1,230.63,103.63,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.1252,4.7337,4.9196,1.576,4.4467,10.495,11.014,5.1122,1,230.89,103.89,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,3.0213,4.5567,4.7502,1.5276,4.3675,10.325,10.838,5.03,1,231.14,104.14,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.9197,4.384,4.5841,1.48,4.2882,10.154,10.661,4.9475,1,231.39,104.39,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.8202,4.2152,4.4211,1.4331,4.2089,9.9823,10.483,4.8646,1,231.65,104.65,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.7226,4.05,4.2609,1.3869,4.1296,9.8103,10.304,4.7814,1,231.9,104.9,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.6267,3.888,4.1033,1.3412,4.0502,9.6376,10.125,4.6979,1,232.16,105.16,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.5324,3.729,3.948,1.2961,3.9709,9.4644,9.9453,4.6141,1,232.41,105.41,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.4396,3.5728,3.7949,1.2516,3.8915,9.2908,9.7648,4.5301,1,232.66,105.66,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.3616,3.4442,3.6651,1.2128,3.814,9.1172,9.5838,4.4459,1,232.92,105.92,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.29,3.3276,3.5456,1.1767,3.7376,8.9445,9.4035,4.3621,1,233.17,106.17,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.22,3.2138,3.4289,1.1413,3.6617,8.7726,9.2241,4.2786,1,233.43,106.43,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.1515,3.1028,3.3147,1.1065,3.5864,8.6016,9.0454,4.1956,1,233.68,106.68,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.0844,2.9942,3.2028,1.0724,3.5116,8.4313,8.8675,4.1129,1,233.93,106.93,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,2.0185,2.8881,3.0931,1.0388,3.4372,8.2618,8.6903,4.0305,1,234.19,107.19,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,1.9539,2.7842,2.9855,1.0058,3.3633,8.0929,8.5138,3.9485,1,234.44,107.44,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,1.8904,2.6824,2.88,0.97339,3.2898,7.9247,8.3379,3.8667,1,234.7,107.7,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,1.8281,2.5827,2.7763,0.94143,3.2166,7.7571,8.1626,3.7852,1,234.95,107.95,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,1.7668,2.4849,2.6744,0.90996,3.1439,7.59,7.9879,3.7041,1,235.2,108.2,0,0
