"phi_g1_eig_1","Points:0","Points:1","Points:2"
0.96797,8.76,8.967,0
0.96209,8.77,8.967,0
0.95622,8.78,8.967,0
0.95034,8.79,8.967,0
0.94446,8.8,8.967,0
0.93858,8.81,8.967,0
0.93271,8.82,8.967,0
0.92683,8.83,8.967,0
0.92095,8.84,8.967,0
0.91507,8.85,8.967,0
0.9092,8.86,8.967,0
0.90332,8.87,8.967,0
0.89752,8.88,8.967,0
0.8918,8.89,8.967,0
0.88607,8.9,8.967,0
0.88035,8.91,8.967,0
0.87463,8.92,8.967,0
0.86891,8.93,8.967,0
0.86319,8.94,8.967,0
0.85746,8.95,8.967,0
0.85174,8.96,8.967,0
0.84602,8.97,8.967,0
0.8403,8.98,8.967,0
0.83458,8.99,8.967,0
0.82886,9,8.967,0
0.82326,9.01,8.967,0
0.81767,9.02,8.967,0
0.81207,9.03,8.967,0
0.80648,9.04,8.967,0
0.80088,9.05,8.967,0
0.79529,9.06,8.967,0
0.78969,9.07,8.967,0
0.7841,9.08,8.967,0
0.7785,9.09,8.967,0
0.77291,9.1,8.967,0
0.76731,9.11,8.967,0
0.76172,9.12,8.967,0
0.75617,9.13,8.967,0
0.75067,9.14,8.967,0
0.74517,9.15,8.967,0
0.73967,9.16,8.967,0
0.73417,9.17,8.967,0
0.72867,9.18,8.967,0
0.72317,9.19,8.967,0
0.71767,9.2,8.967,0
0.71217,9.21,8.967,0
0.70667,9.22,8.967,0
0.70117,9.23,8.967,0
0.69567,9.24,8.967,0
0.69017,9.25,8.967,0
0.68473,9.26,8.967,0
0.67929,9.27,8.967,0
0.67384,9.28,8.967,0
0.6684,9.29,8.967,0
0.66296,9.3,8.967,0
0.65752,9.31,8.967,0
0.65208,9.32,8.967,0
